Date : 2023-05-19 19:18:56
Directory : c:\Users\Admin\Documents\GitLab\voce
Total : 330 files,  27056 codes, 1096 comments, 2368 blanks, all 30520 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| android\app\src\main\kotlin                                                                                                                                                   |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com                                                                                                                                               |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example                                                                                                                                       |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\kotlin\com\example\voce                                                                                                                      |          1 |          4 |          0 |          3 |          7 |
| android\app\src\main\res                                                                                                                                                      |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                                                               |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                       |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                                                |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                                                        |          4 |        655 |          0 |          0 |        655 |
| ios                                                                                                                                                                           |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| ios\Runner (Files)                                                                                                                                                            |          2 |         13 |          0 |          3 |         16 |
| ios\Runner\Assets.xcassets                                                                                                                                                    |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                                                               |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                                                         |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                                           |        288 |     25,303 |        878 |      2,129 |     28,310 |
| lib (Files)                                                                                                                                                                   |          1 |         41 |          1 |          4 |         46 |
| lib\animations                                                                                                                                                                |          2 |         23 |          0 |          8 |         31 |
| lib\blocs                                                                                                                                                                     |          8 |        912 |         40 |        107 |      1,059 |
| lib\cubit                                                                                                                                                                     |         74 |      3,302 |         94 |        753 |      4,149 |
| lib\cubit (Files)                                                                                                                                                             |         50 |      2,410 |         91 |        536 |      3,037 |
| lib\cubit\dedicated_cubits                                                                                                                                                    |         12 |        303 |          2 |         94 |        399 |
| lib\cubit\profile_info_screen                                                                                                                                                 |          2 |         50 |          0 |         16 |         66 |
| lib\cubit\social_story_cubit                                                                                                                                                  |         10 |        539 |          1 |        107 |        647 |
| lib\models                                                                                                                                                                    |         32 |      1,033 |         42 |        173 |      1,248 |
| lib\models (Files)                                                                                                                                                            |         22 |        977 |         42 |        162 |      1,181 |
| lib\models\constants                                                                                                                                                          |          1 |          6 |          0 |          2 |          8 |
| lib\models\enums                                                                                                                                                              |          9 |         50 |          0 |          9 |         59 |
| lib\screens                                                                                                                                                                   |         97 |     13,567 |        504 |        601 |     14,672 |
| lib\screens\auth_screens                                                                                                                                                      |         11 |      1,530 |         13 |         73 |      1,616 |
| lib\screens\auth_screens (Files)                                                                                                                                              |          3 |        514 |          1 |         31 |        546 |
| lib\screens\auth_screens\mbs                                                                                                                                                  |          4 |        484 |          0 |         28 |        512 |
| lib\screens\auth_screens\signup_screen_pages                                                                                                                                  |          3 |        462 |         12 |         10 |        484 |
| lib\screens\auth_screens\ui_components                                                                                                                                        |          1 |         70 |          0 |          4 |         74 |
| lib\screens\camera_screens                                                                                                                                                    |          1 |         52 |          3 |          9 |         64 |
| lib\screens\communication_screens                                                                                                                                             |         15 |      1,874 |        120 |        105 |      2,099 |
| lib\screens\communication_screens (Files)                                                                                                                                     |          3 |        442 |         54 |         24 |        520 |
| lib\screens\communication_screens\mbs                                                                                                                                         |          3 |        478 |          2 |         22 |        502 |
| lib\screens\communication_screens\pages                                                                                                                                       |          2 |        272 |          3 |         18 |        293 |
| lib\screens\communication_screens\ui_components                                                                                                                               |          7 |        682 |         61 |         41 |        784 |
| lib\screens\communication_settings_screen                                                                                                                                     |          4 |        539 |         58 |         21 |        618 |
| lib\screens\communication_settings_screen (Files)                                                                                                                             |          1 |         85 |          0 |          5 |         90 |
| lib\screens\communication_settings_screen\ui_components                                                                                                                       |          3 |        454 |         58 |         16 |        528 |
| lib\screens\home_page                                                                                                                                                         |          6 |        876 |          7 |         35 |        918 |
| lib\screens\home_page (Files)                                                                                                                                                 |          1 |        389 |          5 |         10 |        404 |
| lib\screens\home_page\mbs                                                                                                                                                     |          3 |        347 |          2 |         17 |        366 |
| lib\screens\home_page\mbs (Files)                                                                                                                                             |          2 |        298 |          2 |         10 |        310 |
| lib\screens\home_page\mbs\ui_components                                                                                                                                       |          1 |         49 |          0 |          7 |         56 |
| lib\screens\home_page\ui_components                                                                                                                                           |          2 |        140 |          0 |          8 |        148 |
| lib\screens\multimedia_contents_screens                                                                                                                                       |         15 |      1,839 |         59 |         77 |      1,975 |
| lib\screens\multimedia_contents_screens (Files)                                                                                                                               |          1 |        177 |          6 |          5 |        188 |
| lib\screens\multimedia_contents_screens\mbs                                                                                                                                   |          9 |      1,253 |         49 |         43 |      1,345 |
| lib\screens\multimedia_contents_screens\mbs (Files)                                                                                                                           |          2 |        347 |          3 |          5 |        355 |
| lib\screens\multimedia_contents_screens\mbs\modal_create_image                                                                                                                |          3 |        371 |         41 |         19 |        431 |
| lib\screens\multimedia_contents_screens\mbs\modal_create_image (Files)                                                                                                        |          1 |        152 |         38 |          8 |        198 |
| lib\screens\multimedia_contents_screens\mbs\modal_create_image\pages                                                                                                          |          2 |        219 |          3 |         11 |        233 |
| lib\screens\multimedia_contents_screens\mbs\modal_finalize_creation                                                                                                           |          1 |        129 |          2 |          7 |        138 |
| lib\screens\multimedia_contents_screens\mbs\modal_image_creation_fault                                                                                                        |          1 |         88 |          0 |          5 |         93 |
| lib\screens\multimedia_contents_screens\mbs\pages                                                                                                                             |          2 |        318 |          3 |          7 |        328 |
| lib\screens\multimedia_contents_screens\ui_components                                                                                                                         |          5 |        409 |          4 |         29 |        442 |
| lib\screens\patient_screens                                                                                                                                                   |         11 |      1,432 |          2 |         51 |      1,485 |
| lib\screens\patient_screens (Files)                                                                                                                                           |          1 |        136 |          0 |          5 |        141 |
| lib\screens\patient_screens\mbs                                                                                                                                               |          2 |        341 |          2 |         11 |        354 |
| lib\screens\patient_screens\pages                                                                                                                                             |          3 |        242 |          0 |         11 |        253 |
| lib\screens\patient_screens\ui_components                                                                                                                                     |          5 |        713 |          0 |         24 |        737 |
| lib\screens\print_screens                                                                                                                                                     |          1 |        148 |         22 |         17 |        187 |
| lib\screens\social_stories_screens                                                                                                                                            |         14 |      2,534 |         57 |        108 |      2,699 |
| lib\screens\social_stories_screens (Files)                                                                                                                                    |          4 |        812 |         22 |         29 |        863 |
| lib\screens\social_stories_screens\social_story_communication_screens                                                                                                         |          4 |        498 |          4 |         30 |        532 |
| lib\screens\social_stories_screens\social_story_communication_screens (Files)                                                                                                 |          3 |        417 |          4 |         25 |        446 |
| lib\screens\social_stories_screens\social_story_communication_screens\ui_components                                                                                           |          1 |         81 |          0 |          5 |         86 |
| lib\screens\social_stories_screens\social_story_edit_pages                                                                                                                    |          3 |        637 |         25 |         23 |        685 |
| lib\screens\social_stories_screens\ui_components                                                                                                                              |          3 |        587 |          6 |         26 |        619 |
| lib\screens\table_screens                                                                                                                                                     |         14 |      2,328 |        159 |         83 |      2,570 |
| lib\screens\table_screens (Files)                                                                                                                                             |          3 |        723 |        106 |         25 |        854 |
| lib\screens\table_screens\mbs                                                                                                                                                 |          4 |        921 |         42 |         30 |        993 |
| lib\screens\table_screens\mbs (Files)                                                                                                                                         |          1 |        279 |          5 |         11 |        295 |
| lib\screens\table_screens\mbs\pages                                                                                                                                           |          3 |        642 |         37 |         19 |        698 |
| lib\screens\table_screens\ui_components                                                                                                                                       |          7 |        684 |         11 |         28 |        723 |
| lib\screens\user_profile_screens                                                                                                                                              |          5 |        415 |          4 |         22 |        441 |
| lib\screens\user_profile_screens (Files)                                                                                                                                      |          1 |         90 |          3 |          5 |         98 |
| lib\screens\user_profile_screens\mbs                                                                                                                                          |          1 |         62 |          0 |          7 |         69 |
| lib\screens\user_profile_screens\ui_components                                                                                                                                |          3 |        263 |          1 |         10 |        274 |
| lib\services                                                                                                                                                                  |          4 |        477 |         64 |         91 |        632 |
| lib\widgets                                                                                                                                                                   |         70 |      5,948 |        133 |        392 |      6,473 |
| lib\widgets (Files)                                                                                                                                                           |         30 |      2,292 |         80 |        183 |      2,555 |
| lib\widgets\charts                                                                                                                                                            |          3 |        674 |          1 |         28 |        703 |
| lib\widgets\mbs                                                                                                                                                               |          5 |        515 |          5 |         28 |        548 |
| lib\widgets\mixins                                                                                                                                                            |          1 |          9 |          0 |          3 |         12 |
| lib\widgets\panels                                                                                                                                                            |          6 |        564 |          2 |         24 |        590 |
| lib\widgets\tables                                                                                                                                                            |         25 |      1,894 |         45 |        126 |      2,065 |
| lib\widgets\tables (Files)                                                                                                                                                    |          1 |         33 |          0 |          2 |         35 |
| lib\widgets\tables\communication_tables                                                                                                                                       |          6 |        609 |         14 |         54 |        677 |
| lib\widgets\tables\content_tables                                                                                                                                             |          6 |        621 |         13 |         29 |        663 |
| lib\widgets\tables\format_tables                                                                                                                                              |          6 |        483 |         18 |         29 |        530 |
| lib\widgets\tables\table_builders                                                                                                                                             |          6 |        148 |          0 |         12 |        160 |
| test                                                                                                                                                                          |          1 |         14 |         10 |          7 |         31 |
| web                                                                                                                                                                           |          2 |        102 |         14 |          7 |        123 |
| windows                                                                                                                                                                       |         12 |        489 |         94 |        154 |        737 |
| windows\flutter                                                                                                                                                               |          2 |         14 |          9 |         11 |         34 |
| windows\runner                                                                                                                                                                |         10 |        475 |         85 |        143 |        703 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                      | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Admin\Documents\GitLab\voce\README.md                                                                                                                    | Markdown   |         10 |          0 |          7 |         17 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\build.gradle                                                                                                     | Gradle     |         46 |          3 |         11 |         60 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\debug\AndroidManifest.xml                                                                                    | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\AndroidManifest.xml                                                                                     | XML        |         43 |         11 |          3 |         57 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\kotlin\com\example\voce\MainActivity.kt                                                     | Kotlin     |          4 |          0 |          3 |          7 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\drawable-v21\launch_background.xml                                                                  | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\drawable\launch_background.xml                                                                      | XML        |          4 |          7 |          2 |         13 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\values-night\styles.xml                                                                             | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\main\res\values\styles.xml                                                                                   | XML        |          9 |          9 |          1 |         19 |
| c:\Users\Admin\Documents\GitLab\voce\android\app\src\profile\AndroidManifest.xml                                                                                  | XML        |          4 |          3 |          1 |          8 |
| c:\Users\Admin\Documents\GitLab\voce\android\build.gradle                                                                                                         | Gradle     |         25 |          0 |          5 |         30 |
| c:\Users\Admin\Documents\GitLab\voce\android\google-services.json                                                                                                 | JSON       |         39 |          0 |          0 |         39 |
| c:\Users\Admin\Documents\GitLab\voce\android\gradle.properties                                                                                                    | Properties |          3 |          0 |          1 |          4 |
| c:\Users\Admin\Documents\GitLab\voce\android\gradle\wrapper\gradle-wrapper.properties                                                                             | Properties |          5 |          1 |          1 |          7 |
| c:\Users\Admin\Documents\GitLab\voce\android\settings.gradle                                                                                                      | Gradle     |          8 |          0 |          4 |         12 |
| c:\Users\Admin\Documents\GitLab\voce\assets\anim_confirm.json                                                                                                     | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Admin\Documents\GitLab\voce\assets\audio_recording_animation.json                                                                                        | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Admin\Documents\GitLab\voce\assets\lf30_editor_9izb5rld.json                                                                                             | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Admin\Documents\GitLab\voce\assets\translate_loading.json                                                                                                | JSON       |        652 |          0 |          0 |        652 |
| c:\Users\Admin\Documents\GitLab\voce\ios\Runner\AppDelegate.swift                                                                                                 | Swift      |         12 |          0 |          2 |         14 |
| c:\Users\Admin\Documents\GitLab\voce\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json                                                                  | JSON       |        122 |          0 |          1 |        123 |
| c:\Users\Admin\Documents\GitLab\voce\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json                                                                | JSON       |         23 |          0 |          1 |         24 |
| c:\Users\Admin\Documents\GitLab\voce\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md                                                                    | Markdown   |          3 |          0 |          2 |          5 |
| c:\Users\Admin\Documents\GitLab\voce\ios\Runner\Base.lproj\LaunchScreen.storyboard                                                                                | XML        |         36 |          1 |          1 |         38 |
| c:\Users\Admin\Documents\GitLab\voce\ios\Runner\Base.lproj\Main.storyboard                                                                                        | XML        |         25 |          1 |          1 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\ios\Runner\Runner-Bridging-Header.h                                                                                          | C++        |          1 |          0 |          1 |          2 |
| c:\Users\Admin\Documents\GitLab\voce\lib\animations\animation_controller_state.dart                                                                               | Dart       |         13 |          0 |          3 |         16 |
| c:\Users\Admin\Documents\GitLab\voce\lib\animations\sine_curve_animation.dart                                                                                     | Dart       |         10 |          0 |          5 |         15 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_auth.dart                                                                                                     | Dart       |         63 |          4 |         13 |         80 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_camera.dart                                                                                                   | Dart       |         29 |          0 |          8 |         37 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_communication.dart                                                                                            | Dart       |        142 |          2 |         11 |        155 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_multimedia_screen.dart                                                                                        | Dart       |         78 |          4 |         12 |         94 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_new_patient_panel.dart                                                                                        | Dart       |         19 |          0 |          8 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_patient_screen.dart                                                                                           | Dart       |        261 |          4 |         12 |        277 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_table_panel.dart                                                                                              | Dart       |        272 |         23 |         30 |        325 |
| c:\Users\Admin\Documents\GitLab\voce\lib\blocs\bloc_table_screen.dart                                                                                             | Dart       |         48 |          3 |         13 |         64 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_autism_centre_cubit.dart                                                                                       | Dart       |         32 |          0 |         10 |         42 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_autism_centre_state.dart                                                                                       | Dart       |         22 |          0 |          8 |         30 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_new_patient_cubit.dart                                                                                         | Dart       |         97 |          0 |         11 |        108 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\add_new_patient_state.dart                                                                                         | Dart       |         25 |          0 |          9 |         34 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\auth_cubit.dart                                                                                                    | Dart       |         93 |          0 |          9 |        102 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\auth_state.dart                                                                                                    | Dart       |         25 |          0 |          9 |         34 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\communication_settings_panel_cubit.dart                                                                            | Dart       |         64 |         31 |         15 |        110 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\communication_settings_panel_state.dart                                                                            | Dart       |         22 |          0 |         10 |         32 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\create_image_cubit.dart                                                                                            | Dart       |         93 |          0 |         15 |        108 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\create_image_state.dart                                                                                            | Dart       |         37 |          0 |         13 |         50 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_centre_tables_cubit.dart                                                                 | Dart       |         24 |          0 |          7 |         31 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_centre_tables_state.dart                                                                 | Dart       |         19 |          0 |          8 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_public_tables_cubit.dart                                                                 | Dart       |         23 |          0 |          6 |         29 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\download_public_tables_state.dart                                                                 | Dart       |         19 |          0 |          8 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\search_voce_images_cubit.dart                                                                     | Dart       |         37 |          2 |          8 |         47 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\search_voce_images_state.dart                                                                     | Dart       |         17 |          0 |          8 |         25 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\sign_up_centre_panel_cubit.dart                                                                   | Dart       |         45 |          0 |          8 |         53 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\sign_up_centre_panel_state.dart                                                                   | Dart       |         18 |          0 |          9 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\table_filter_panel_cubit.dart                                                                     | Dart       |         29 |          0 |          8 |         37 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\table_filter_panel_state.dart                                                                     | Dart       |         30 |          0 |          9 |         39 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\tables_download_cubit.dart                                                                        | Dart       |         25 |          0 |          7 |         32 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\dedicated_cubits\tables_download_state.dart                                                                        | Dart       |         17 |          0 |          8 |         25 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\home_page_cubit.dart                                                                                               | Dart       |         59 |          0 |          9 |         68 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\home_page_state.dart                                                                                               | Dart       |         26 |          0 |          9 |         35 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_correction_panel_cubit.dart                                                                                  | Dart       |         74 |          5 |         12 |         91 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_correction_panel_state.dart                                                                                  | Dart       |         25 |          0 |          7 |         32 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_list_panel_cubit.dart                                                                                        | Dart       |         54 |          2 |          9 |         65 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_list_panel_state.dart                                                                                        | Dart       |         23 |          0 |          8 |         31 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_picker_cubit.dart                                                                                            | Dart       |         14 |          0 |          6 |         20 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\image_picker_state.dart                                                                                            | Dart       |         19 |          0 |          7 |         26 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_story_to_patient_cubit.dart                                                                                   | Dart       |        124 |          2 |         25 |        151 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_story_to_patient_state.dart                                                                                   | Dart       |         18 |          0 |          9 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_table_to_patient_cubit.dart                                                                                   | Dart       |        115 |          0 |         23 |        138 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\link_table_to_patient_state.dart                                                                                   | Dart       |         26 |          0 |          9 |         35 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\multimedia_content_screen_cubit.dart                                                                               | Dart       |        184 |          4 |         35 |        223 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\multimedia_content_screen_state.dart                                                                               | Dart       |         15 |          0 |          5 |         20 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\open_voce_caa_tables_cubit.dart                                                                                    | Dart       |         28 |          0 |          5 |         33 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\open_voce_caa_tables_state.dart                                                                                    | Dart       |         17 |          0 |          8 |         25 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\operator_communication_cubit.dart                                                                                  | Dart       |        111 |         33 |         23 |        167 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\operator_communication_state.dart                                                                                  | Dart       |         25 |          0 |          9 |         34 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_communication_cubit.dart                                                                                   | Dart       |        143 |          0 |         19 |        162 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_communication_state.dart                                                                                   | Dart       |         25 |          0 |          7 |         32 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_screen_cubit.dart                                                                                          | Dart       |         38 |          0 |          7 |         45 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patient_screen_state.dart                                                                                          | Dart       |         12 |          0 |          4 |         16 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patients_cubit.dart                                                                                                | Dart       |         21 |          2 |          6 |         29 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\patients_state.dart                                                                                                | Dart       |         12 |          0 |          4 |         16 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\profile_info_screen\profile_info_cubit.dart                                                                        | Dart       |         31 |          0 |          7 |         38 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\profile_info_screen\profile_info_state.dart                                                                        | Dart       |         19 |          0 |          9 |         28 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_patient_cubit.dart                                                                                      | Dart       |         27 |          0 |          5 |         32 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_patient_state.dart                                                                                      | Dart       |         11 |          0 |          4 |         15 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_table_cubit.dart                                                                                        | Dart       |         61 |          0 |         11 |         72 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\set_active_table_state.dart                                                                                        | Dart       |         23 |          0 |          8 |         31 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\sign_up_cubit.dart                                                                                                 | Dart       |         62 |          0 |         11 |         73 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\sign_up_state.dart                                                                                                 | Dart       |         39 |          0 |         15 |         54 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\open_voce_social_stories_cubit.dart                                                             | Dart       |         39 |          0 |          6 |         45 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\open_voce_social_stories_state.dart                                                             | Dart       |         17 |          0 |          8 |         25 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_stories_view_cubit.dart                                                                  | Dart       |         54 |          0 |          9 |         63 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_stories_view_state.dart                                                                  | Dart       |         17 |          0 |          8 |         25 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_comm_detail_cubit_cubit.dart                                                       | Dart       |         64 |          0 |          7 |         71 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_comm_detail_cubit_state.dart                                                       | Dart       |         21 |          0 |          9 |         30 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_editor_cubit.dart                                                                  | Dart       |        188 |          0 |         23 |        211 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_editor_state.dart                                                                  | Dart       |         21 |          0 |         13 |         34 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_manager_cubit.dart                                                                 | Dart       |        101 |          1 |         16 |        118 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\social_story_cubit\social_story_manager_state.dart                                                                 | Dart       |         17 |          0 |          8 |         25 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\speech_to_text_cubit.dart                                                                                          | Dart       |         29 |          0 |          5 |         34 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\speech_to_text_state.dart                                                                                          | Dart       |         22 |          0 |          8 |         30 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_context_cubit.dart                                                                                           | Dart       |         32 |          1 |         10 |         43 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_context_state.dart                                                                                           | Dart       |         20 |          0 |          7 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_list_cubit.dart                                                                                              | Dart       |         16 |          0 |          5 |         21 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_list_state.dart                                                                                              | Dart       |         20 |          0 |          7 |         27 |
| c:\Users\Admin\Documents\GitLab\voce\lib\cubit\table_panel_cubit.dart                                                                                             | Dart       |        180 |         10 |         23 |        213 |
